Alma Library Code,Alma Partner Code,Institution,LibraryName,Address1,City,State,Zip,HUB,SYMBOL
MAR,SUNYMAR,SUNY Maritime College,Stephen B. Luce Library,6 Pennyfield Avenue,Bronx,NY,10465,NYC,ZMM
MON,SUNYMON,Monroe Community College,LeRoy V. Good Library,PO Box 92810-1000 East Henrietta Road,Rochester,NY,14692-8910,ROC,VQT
MOR,SUNYMOR,Morrisville State College,Donald G. Butcher Library,80 Eaton Street,Morrisville,NY,13408,SYR,XMM
MVC,SUNYMVC,Mohawk Valley Community College,Library,1101 Sherman Drive,Utica,NY,13501-5394,SYR,ZVM
NAS,SUNYNAS,Nassau Community College,A. Holly Patterson Library,1 Education Drive,Garden City,NY,11530-6793,NYC,VVX
NEW,SUNYNEW,SUNY College at New Paltz,Sojourner Truth Library,300 Hawk Drive,New Paltz,NY,12561-2493,NEW,ZLM
NIA,SUNYNIA,Niagara County Community College,Henrietta G. Lewis Library,3111 Saunders Settlement,Sanborn,NY,14132,BUF,YKU
NOR,SUNYNOR,North Country Community College,Library,23 Santanoni Avenue,Saranac Lake,NY,12983-0089,ALB,ZNO
OLD,SUNYOLD,SUNY College at Old Westbury,Library,223 Store Hill Road-PO Box 229,Old Westbury,NY,11568-0229,NYC,ZOW
ONE,SUNYONE,SUNY College at Oneonta,James M. Milne Library,,Oneonta,NY,13820-4014,BNG,ZBM
ONO,SUNYONO,Onondaga Community College,Coulter Library,4585 West Seneca Tnpk,Syracuse,NY,13215-4585,SYR,VOC
OPT,SUNYOPT,SUNY State College of Optometry,Kohn Vision Science Library,33 West 42nd Street,New York,NY,10036,NYC,VXP
ORN,SUNYORN,Orange County Community College,Learning Resources Center,115 South Street,Middletown,NY,10940,NEW,VGA
OSW,SUNYOSW,SUNY College at Oswego,Penfield Library,7060 Route 104,Oswego,NY,13126-3514,SYR,YOM
PLA,SUNYPLA,Plattsburgh State University of New York,Benjamin F. Feinberg Library,2 Draper Ave.,Plattsburgh,NY,12901-2697,ALB,YPM
POT,SUNYPOT,SUNY College at Potsdam,F.W. Crumb Library,44 Pierrepont Ave,Potsdam,NY,13676,SYR,ZQM
PUR,SUNYPUR,SUNY College at Purchase,Purchase College Library,735 Anderson Hill Road,Purchase,NY,10577-1400,NEW,ZPM
RCC,SUNYRCC,Rockland Community College Library,Library,145 College Road,Suffern,NY,10901,NEW,VVR
SCH,SUNYSCH,Schenectady County Community College,Begley Library,78 Washington Ave,Schenectady,NY,12305,ALB,XJM
STB,SUNYSTB,Stony Brook University,Frank Melville Jr. Memorial Library,100 Nicolls Rd,Stony Brook,NY,11794-3300,NYC,YSM
SUF,SUNYSUFFA,"Suffolk County Community College, SUNY",Ammerman Campus Library,533 College Road,Seldon ,NY,11784,NYC,YDD
SUF,SUNYSUFFG,"Suffolk County Community College, SUNY",Ammerman Campus Library,533 College Road,Seldon ,NY,11784,NYC,YDD
SUF,SUNYSUFMN,"Suffolk County Community College, SUNY",Ammerman Campus Library,533 College Road,Seldon ,NY,11784,NYC,YDD
SUL,SUNYSUL,Sullivan County Community College,Hermann Memorial Library,112 College Road,Loch Sheldrake,NY,12759-5151,NEW,VGK
TCC,SUNYTCC,Tompkins-Cortland Community College,Library,,,NY,,SYR,VXT
ULS,SUNYULS,Ulster County Community College,Macdonald DeWitt Library,,Stone Ridge,NY,12484,NEW,VGN
UPS,SUNYUPS,SUNY Upstate Medical University,Health Sciences Library,766 Irving Avenue,Syracuse,NY,13210,SYR,VYQ
WES,SUNYWES,Westchester Community College,Harold L. Drimmer Library & Learning Resource Center,75 Grasslands Road,Valhalla,NY,10595,NEW,WCC
